onset	duration	sample	type	value
11.41	n/a	13693	UPPT002	2
22.0375	n/a	26446	UPPT002	1
36.15	n/a	43381	UPPT002	2
45.2283333333333	n/a	54275	UPPT002	1
57.1808333333333	n/a	68618	UPPT002	1
68.1641666666667	n/a	81798	UPPT002	8
81.7816666666667	n/a	98139	UPPT002	1
90.6258333333333	n/a	108752	UPPT002	1
99.9266666666667	n/a	119913	UPPT002	1
114.446666666667	n/a	137337	UPPT002	1
125.086666666667	n/a	150105	UPPT002	1
139.078333333333	n/a	166895	UPPT002	1
149.401666666667	n/a	179283	UPPT002	4
161.185	n/a	193423	UPPT002	2
171.266666666667	n/a	205521	UPPT002	1
181.546666666667	n/a	217857	UPPT002	4
191.208333333333	n/a	229451	UPPT002	1
201.366666666667	n/a	241641	UPPT002	2
211.793333333333	n/a	254153	UPPT002	1
221.675833333333	n/a	266012	UPPT002	1
231.184166666667	n/a	277422	UPPT002	2
240.64	n/a	288769	UPPT002	1
252.163333333333	n/a	302597	UPPT002	1
262.1475	n/a	314578	UPPT002	2
273.5875	n/a	328306	UPPT002	1
283.908333333333	n/a	340691	UPPT002	4
296.506666666667	n/a	355809	UPPT002	2
307.076666666667	n/a	368493	UPPT002	1
318.589166666667	n/a	382308	UPPT002	2
330.899166666667	n/a	397080	UPPT002	1
342.264166666667	n/a	410718	UPPT002	1
352.2025	n/a	422644	UPPT002	4
362.844166666667	n/a	435414	UPPT002	1
373.025	n/a	447631	UPPT002	1
384.950833333333	n/a	461942	UPPT002	1
394.7575	n/a	473710	UPPT002	2
407.804166666667	n/a	489366	UPPT002	1
417.109166666667	n/a	500532	UPPT002	1
431.863333333333	n/a	518237	UPPT002	1
441.025	n/a	529231	UPPT002	1
451.6325	n/a	541960	UPPT002	2
461.55	n/a	553861	UPPT002	1
472.12	n/a	566545	UPPT002	2
