onset	duration	sample	type	value
8.3325	n/a	10000	UPPT002	1
9.435	n/a	11323	UPPT002	1
18.0841666666667	n/a	21702	UPPT002	1
26.6525	n/a	31984	UPPT002	1
36.8075	n/a	44170	UPPT002	2
44.0616666666667	n/a	52875	UPPT002	1
50.8708333333333	n/a	61046	UPPT002	1
59.8391666666667	n/a	71808	UPPT002	1
68.5783333333333	n/a	82295	UPPT002	1
77.135	n/a	92563	UPPT002	2
86.015	n/a	103219	UPPT002	1
95.0358333333333	n/a	114044	UPPT002	1
104.069166666667	n/a	124884	UPPT002	1
113.175	n/a	135811	UPPT002	1
122.3	n/a	146761	UPPT002	1
131.03	n/a	157237	UPPT002	1
139.821666666667	n/a	167787	UPPT002	1
148.461666666667	n/a	178155	UPPT002	2
157.028333333333	n/a	188435	UPPT002	1
165.868333333333	n/a	199043	UPPT002	2
176.2625	n/a	211516	UPPT002	1
183.150833333333	n/a	219782	UPPT002	1
191.7475	n/a	230098	UPPT002	2
201.108333333333	n/a	241331	UPPT002	1
211.345833333333	n/a	253616	UPPT002	2
218.396666666667	n/a	262077	UPPT002	1
227.800833333333	n/a	273362	UPPT002	2
236.864166666667	n/a	284238	UPPT002	1
245.934166666667	n/a	295122	UPPT002	1
254.974166666667	n/a	305970	UPPT002	1
263.890833333333	n/a	316670	UPPT002	1
272.761666666667	n/a	327315	UPPT002	1
281.5425	n/a	337852	UPPT002	1
290.170833333333	n/a	348206	UPPT002	2
299.4775	n/a	359374	UPPT002	1
308.278333333333	n/a	369935	UPPT002	1
313.516666666667	n/a	376221	UPPT002	1
315.626666666667	n/a	378753	UPPT002	1
316.980833333333	n/a	380378	UPPT002	1
325.573333333333	n/a	390689	UPPT002	1
334.060833333333	n/a	400874	UPPT002	1
339.310833333333	n/a	407174	UPPT002	1
341.234166666667	n/a	409482	UPPT002	1
343.0875	n/a	411706	UPPT002	1
351.793333333333	n/a	422153	UPPT002	1
